url,status,depth,local_html
"https://jamesturrell.com/wp-content/uploads/2015/10/stonescape_outside_2copy.jpg",200,1,""
"https://jamesturrell.com/wp-content/uploads/2015/10/wedgework_iii_1969.jpg",200,1,""
"https://jamesturrell.com/exhibitions/public/James Turrell",0,1,""
"https://jamesturrell.com/exhibitions/public/Selected Public Collections",0,1,""
"https://jamesturrell.com/exhibitions/public/article",404,1,""
"https://jamesturrell.com/exhibitions/public/summary_large_image",404,1,""
"https://jamesturrell.com/wp-content/uploads/2015/10/Within-Without-Exterior-6.jpg",200,1,""
"https://www.pacegallery.com/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/index.html"
"https://www.pacegallery.com/about-1/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/about-1.html"
"https://www.pacegallery.com/accessibility/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/accessibility.html"
"https://www.pacegallery.com/artfairs/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/artfairs.html"
"https://www.pacegallery.com/artists/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/artists.html"
"https://www.pacegallery.com/artists/james-turrell/James Turrell has dedicated his practice to what he has deemed perceptual art, investigating the materiality of light.",0,1,""
"https://www.pacegallery.com/artists/james-turrell/James Turrell | Pace Gallery",0,1,""
"https://www.pacegallery.com/artists/james-turrell/James Turrell,James Turrell artist,James Turrell Pace,James Turrell Pace Gallery,Pace Gallery,Contemporary Art,Contemporary Artist,Art Gallery",0,1,""
"https://www.pacegallery.com/artists/james-turrell/art-fairs",404,1,""
"https://www.pacegallery.com/artists/james-turrell/artists",404,1,""
"https://www.pacegallery.com/artists/james-turrell/exhibitions",404,1,""
"https://www.pacegallery.com/artists/james-turrell/galleries",404,1,""
"https://www.pacegallery.com/artists/james-turrell/journal",404,1,""
"https://www.pacegallery.com/artists/james-turrell/pacelive",404,1,""
"https://www.pacegallery.com/artists/james-turrell/publishing",404,1,""
"https://www.pacegallery.com/artists/james-turrell/website",404,1,""
"https://www.pacegallery.com/artists/james-turrell/width=device-width, initial-scale=1, viewport-fit=cover",0,1,""
"https://www.pacegallery.com/careers/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/careers.html"
"https://www.pacegallery.com/culture-equity/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/culture-equity.html"
"https://www.pacegallery.com/documents/23789/James_Turrell_Public_Collections.pdf",200,1,""
"https://www.pacegallery.com/documents/33176/James_Turrell_Books.pdf",200,1,""
"https://www.pacegallery.com/documents/34374/James_Turrell_Group_Exhibitions.pdf",200,1,""
"https://www.pacegallery.com/documents/34375/James_Turrell_One-Artist_Exhibitions.pdf",200,1,""
"https://www.pacegallery.com/documents/34376/James_Turrell_Periodicals.pdf",200,1,""
"https://www.pacegallery.com/events/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/events.html"
"https://www.pacegallery.com/exhibitions/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/exhibitions.html"
"https://www.pacegallery.com/exhibitions/artist/james-turrell/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/exhibitions_artist_james-turrell.html"
"https://www.pacegallery.com/exhibitions/bending-light-ii/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/exhibitions_bending-light-ii.html"
"https://www.pacegallery.com/exhibitions/james-turrell-after-effect/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/exhibitions_james-turrell-after-effect.html"
"https://www.pacegallery.com/exhibitions/james-turrell-elemental/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/exhibitions_james-turrell-elemental.html"
"https://www.pacegallery.com/galleries/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/galleries.html"
"https://www.pacegallery.com/journal/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/journal.html"
"https://www.pacegallery.com/journal/ad-reinhardt-color-out-of-darkness-curated-by-james-turrell/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/journal_ad-reinhardt-color-out-of-darkness-curated-by-james-turrell.html"
"https://www.pacegallery.com/journal/artist/james-turrell/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/journal_artist_james-turrell.html"
"https://www.pacegallery.com/journal/james-turrell-art-of-opulence-and-light/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/journal_james-turrell-art-of-opulence-and-light.html"
"https://www.pacegallery.com/journal/our-artists-pst-2024/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/journal_our-artists-pst-2024.html"
"https://www.pacegallery.com/journal/publishing-light-and-space-artists/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/journal_publishing-light-and-space-artists.html"
"https://www.pacegallery.com/library-archives/",200,1,"/Users/amol/Downloads/art_party_artists_v2/html/www.pacegallery.com/library-archives.html"
"https://www.pacegallery.com/media/images/79541_Turrell_v01_F_E2.width-1100.jpg",200,1,""
"https://www.pacegallery.com/media/images/79541_Turrell_v01_F_E2.width-1440.jpg",200,1,""
"https://www.pacegallery.com/media/images/79541_Turrell_v01_F_E2.width-2000.jpg",200,1,""
"https://www.pacegallery.com/media/images/79541_Turrell_v01_F_E2.width-360.jpg",200,1,""
"https://www.pacegallery.com/media/images/79541_Turrell_v01_F_E2.width-720.jpg",200,1,""
"https://www.pacegallery.com/media/images/79957_TURRELL_v10b_crop_1.width-1100.jpg",200,1,""
"https://www.pacegallery.com/media/images/79957_TURRELL_v10b_crop_1.width-1440.jpg",200,1,""
"https://www.pacegallery.com/media/images/79957_TURRELL_v10b_crop_1.width-2000.jpg",200,1,""
"https://www.pacegallery.com/media/images/79957_TURRELL_v10b_crop_1.width-360.jpg",200,1,""
"https://www.pacegallery.com/media/images/79957_TURRELL_v10b_crop_1.width-720.jpg",200,1,""
"https://www.pacegallery.com/media/images/James_Turrell_Circular_Glass_04.original.jpg",200,1,""
"https://www.pacegallery.com/media/images/James_Turrell_Circular_Glass_04.width-1100.jpg",200,1,""
"https://www.pacegallery.com/media/images/James_Turrell_Circular_Glass_04.width-1440.jpg",200,1,""
"https://www.pacegallery.com/media/images/James_Turrell_Circular_Glass_04.width-2000.jpg",200,1,""
"https://www.pacegallery.com/media/images/James_Turrell_Circular_Glass_04.width-360.jpg",200,1,""
"https://www.pacegallery.com/media/images/James_Turrell_Circular_Glass_04.width-720.jpg",200,1,""
"https://www.pacegallery.com/media/images/TURRELL_JAMES_BOOK_v01.width-1100.webp",200,1,""
"https://www.pacegallery.com/media/images/TURRELL_JAMES_BOOK_v01.width-1440.webp",200,1,""
"https://www.pacegallery.com/media/images/TURRELL_JAMES_BOOK_v01.width-2000.webp",200,1,""
"https://www.pacegallery.com/media/images/TURRELL_JAMES_BOOK_v01.width-360.webp",200,1,""
"https://www.pacegallery.com/media/images/TURRELL_JAMES_BOOK_v01.width-720.webp",200,1,""
"https://www.pacegallery.com/media/images/Turrell.original.jpg",200,1,""
"https://www.pacegallery.com/media/images/Turrell.width-1100.jpg",200,1,""
"https://www.pacegallery.com/media/images/Turrell.width-1440.jpg",200,1,""
"https://www.pacegallery.com/media/images/Turrell.width-2000.jpg",200,1,""
"https://www.pacegallery.com/media/images/Turrell.width-360.jpg",200,1,""
"https://www.pacegallery.com/media/images/Turrell.width-720.jpg",200,1,""
"https://www.pacegallery.com/media/original_images/LA-Mailer_GIF-2_v5_small.mp4",200,1,""
